,"(-2.094278, 57.15736)","(-1.510436, 53.56292)","(-2.354155, 51.391127)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-1.275039, 54.60537)","(-1.826744, 50.73957)","(-0.175269, 51.54421)","(0.124456, 52.20237)","(1.098061, 51.27399)","(-3.17625, 51.48178)","(-0.125889, 51.52229)","(-1.519612, 52.394399)","(-3.006953, 51.6538)","(-7.329115, 55.001225)","(-3.614233, 55.070033)","(-2.334139, 53.48481)","(-3.532465, 50.725083)","(-4.255161, 55.85773)","(-4.258889, 55.85917)","(-3.704399, 56.010319)","(-1.325283, 51.571078)","(-0.068218, 51.5993)","(-0.460861, 51.49633)","(-0.131931, 51.49467)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.752006, 53.40337)","(-1.533119, 52.28881)","(-1.546472, 53.80378)","(-1.133006, 52.631348)","(0.18125, 50.7937)","(0.070766, 51.45258)","(-2.237881, 53.48152)","(-2.24328, 53.369026)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(-1.146447, 52.95473)","(-0.885933, 52.27349)","(-1.257463, 51.751745)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(0.634889, 51.45617)","(0.678408, 51.544206)","(-1.396139, 53.41058)","(-1.473306, 53.37772)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-0.339647, 51.42099)","(-0.042155, 51.52253)","(0.317969, 51.47707)","(-3.022722, 53.37287)","(0.290917, 52.2985)"
2001-01-01T00:00:00Z,0,13,0,0,0,0,0,38,11,0,0,0,0,0,2,0,25,0,0,50,0,0,32,0,0,0,6,0,0,0,0,0,8,0,0,0,59,0,0,0,0,3,13,6,6,0,13,0,0,0,4,0,21,0,6,0
2001-01-01T01:00:00Z,27,0,27,0,11,0,0,44,13,0,0,0,0,0,0,0,32,0,8,82,0,0,44,15,0,0,6,26,0,0,13,2,8,19,6,10,67,21,23,0,42,6,23,8,11,7,19,15,13,15,15,8,31,6,10,4
2001-01-01T02:00:00Z,27,15,29,0,11,34,0,50,10,0,19,44,0,0,10,0,21,21,15,48,0,0,52,15,0,0,11,35,4,19,11,2,10,19,2,8,76,15,23,0,36,3,13,6,8,5,19,21,10,13,13,6,32,4,10,5
2001-01-01T03:00:00Z,23,10,31,0,10,36,0,32,8,0,25,34,0,0,2,0,25,15,15,63,0,0,40,11,0,0,8,37,4,27,13,2,8,21,4,8,69,17,19,0,27,2,8,6,6,5,15,21,15,13,17,2,23,4,10,8
2001-01-01T04:00:00Z,15,11,32,0,8,32,0,27,10,0,17,32,0,0,4,0,36,10,34,67,0,0,29,10,0,0,6,12,4,34,11,5,6,21,6,6,52,15,21,0,23,2,15,6,8,3,15,21,23,11,21,3,17,2,8,7
2001-01-01T05:00:00Z,13,15,32,0,8,15,0,23,8,0,55,23,0,0,4,0,29,19,31,61,0,0,23,17,0,0,6,13,6,36,11,5,6,21,6,8,52,17,17,0,19,3,10,10,10,4,11,23,10,13,23,4,13,2,10,4
2001-01-01T06:00:00Z,15,19,44,0,10,15,0,29,10,0,34,32,0,0,2,0,19,23,25,61,0,0,29,21,0,0,10,17,13,32,27,5,8,19,8,8,52,19,25,0,23,3,8,8,10,8,23,27,11,13,23,1,17,2,11,5
2001-01-01T07:00:00Z,11,15,38,0,8,17,0,29,0,0,36,34,0,0,2,0,15,40,44,78,0,0,34,17,0,0,13,12,21,50,23,5,10,23,10,10,59,0,23,0,29,2,8,10,13,5,25,34,40,19,11,3,19,2,10,5
2001-01-01T08:00:00Z,13,21,31,0,11,17,0,34,8,0,23,38,0,0,2,0,17,32,50,78,0,0,29,21,0,0,11,7,21,40,29,6,10,23,10,13,52,44,29,0,31,3,8,17,15,12,17,36,32,19,15,1,21,4,11,6
2001-01-01T09:00:00Z,11,19,46,0,11,19,0,40,10,0,6,52,0,0,4,0,19,15,6,23,0,0,32,29,0,0,17,6,15,34,36,4,11,25,10,10,73,46,32,0,29,3,11,23,15,20,17,32,10,25,8,3,27,2,11,6
