,"(-3.034178, 52.50385)","(-1.510436, 53.56292)","(-5.928833, 54.59965)","(-0.814722, 52.93028)","(-3.205782, 55.862281)","(-3.17625, 51.48178)","(-0.125889, 51.52229)","(-1.519612, 52.394399)","(-7.329115, 55.001225)","(-2.334139, 53.48481)","(-3.206111, 55.31531)","(-3.532465, 50.725083)","(-2.450799, 54.684233)","(-4.255161, 55.85773)","(-2.472056, 53.46008)","(-1.325283, 51.571078)","(-0.126486, 51.58603)","(-0.460861, 51.49633)","(-0.80855, 54.334944)","(-0.131931, 51.49467)","(-0.213492, 51.52105)","(-1.752006, 53.40337)","(-1.533119, 52.28881)","(-1.546472, 53.80378)","(-1.133006, 52.631348)","(0.18125, 50.7937)","(-7.900328, 54.43951)","(0.070766, 51.45258)","(-2.237881, 53.48152)","(-2.24328, 53.369026)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(-1.146447, 52.95473)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-2.680353, 53.76559)","(0.634889, 51.45617)","(0.678408, 51.544206)","(-1.473306, 53.37772)","(1.463497, 52.2944)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-4.776583, 57.734456)","(-0.339647, 51.42099)","(0.317969, 51.47707)","(-3.022722, 53.37287)","(1.122017, 52.95049)","(0.290917, 52.2985)","(-3.71651, 50.5976)"
2001-01-01T00:00:00Z,0,66,0,56,0,0,0,0,54,40,0,0,0,0,0,0,32,0,0,0,44,0,0,0,0,0,0,54,0,0,0,10,0,0,80,56,58,0,60,0,0,0,50,0,0,0,60,0,0,0
2001-01-01T01:00:00Z,52,0,0,52,54,34,26,0,52,32,48,60,52,44,46,56,32,42,52,0,42,32,52,36,52,58,64,52,34,34,48,6,40,32,74,60,50,56,48,48,54,54,40,42,52,50,62,0,44,64
2001-01-01T02:00:00Z,52,56,0,54,54,36,22,0,52,38,46,64,58,36,44,54,26,40,50,0,40,22,50,36,50,58,60,52,30,38,44,4,42,28,74,60,48,56,50,44,50,50,38,44,54,52,48,0,44,68
2001-01-01T03:00:00Z,56,58,0,54,54,38,32,0,54,32,44,70,60,36,40,54,36,42,44,0,42,18,50,26,46,58,64,54,24,40,44,4,40,30,78,66,54,60,54,36,50,50,30,42,56,56,46,0,42,76
2001-01-01T04:00:00Z,52,48,0,52,56,66,32,0,64,20,46,82,60,18,40,52,38,48,40,0,46,40,48,16,46,56,68,54,20,44,42,10,40,20,84,68,50,60,60,26,52,52,28,46,56,54,46,0,40,82
2001-01-01T05:00:00Z,64,46,0,50,54,30,36,0,66,30,48,66,62,18,36,54,40,40,38,0,46,38,46,16,44,52,66,54,22,40,42,12,36,24,84,72,54,60,58,36,50,54,22,42,54,54,36,0,44,82
2001-01-01T06:00:00Z,76,40,0,48,56,44,32,0,66,34,52,60,64,20,38,58,34,34,38,0,42,36,44,14,30,54,56,54,22,44,46,10,32,18,88,72,50,52,42,34,50,56,18,46,54,52,40,0,44,82
2001-01-01T07:00:00Z,80,42,0,48,56,38,32,0,68,36,58,42,64,4,36,66,32,40,38,0,46,42,36,2,34,54,54,54,18,36,42,10,12,22,88,72,42,56,50,6,50,68,36,44,58,54,40,0,46,82
2001-01-01T08:00:00Z,78,38,0,50,62,52,30,0,66,34,60,54,64,4,38,78,40,48,36,0,0,50,44,4,30,52,54,60,18,36,38,18,10,20,86,72,40,50,52,12,48,74,38,46,64,56,36,0,44,80
2001-01-01T09:00:00Z,74,48,0,56,64,64,32,0,66,36,62,74,68,56,36,80,54,44,34,0,0,58,56,8,30,62,60,62,20,42,44,16,16,20,84,68,42,46,58,44,48,62,52,58,74,60,34,0,52,80
2001-01-01T10:00:00Z,66,68,0,62,66,62,40,0,64,48,58,66,70,58,42,76,56,38,34,0,0,64,58,6,34,76,62,64,34,48,40,12,14,32,82,68,50,58,54,48,48,50,60,60,72,64,48,0,60,78
2001-01-01T11:00:00Z,68,80,0,68,64,68,50,0,64,54,56,74,68,56,52,74,60,30,34,0,0,66,64,6,44,66,56,66,42,46,40,18,20,50,82,68,56,76,72,50,48,58,50,56,74,74,48,0,64,80
2001-01-01T12:00:00Z,64,76,0,74,64,66,42,0,60,54,48,70,66,50,58,72,60,18,40,0,0,60,64,18,48,66,60,60,48,32,42,18,28,48,82,68,56,68,74,40,46,60,58,62,70,70,52,0,66,78
2001-01-01T13:00:00Z,60,64,0,76,66,64,34,0,60,56,46,70,66,52,54,70,48,22,42,0,0,56,62,40,48,64,60,60,48,36,40,10,8,52,84,68,56,62,62,34,56,58,54,64,66,68,58,0,64,78
2001-01-01T14:00:00Z,70,56,0,72,64,66,38,0,58,52,46,66,66,50,52,70,46,24,46,0,0,56,58,30,48,58,60,60,38,38,48,10,8,38,82,68,52,68,66,40,62,62,52,64,66,72,54,0,60,80
2001-01-01T15:00:00Z,68,46,0,68,54,50,36,0,56,50,46,68,64,36,52,70,44,18,44,0,0,54,62,16,48,62,56,64,42,44,46,8,12,34,82,66,52,66,54,38,56,56,48,66,66,70,54,0,50,80
2001-01-01T16:00:00Z,64,36,0,66,52,46,32,0,46,40,44,70,64,48,48,70,38,18,48,0,0,54,60,20,50,64,60,60,36,48,48,8,8,36,84,66,46,62,52,36,56,54,52,68,64,68,56,0,52,80
2001-01-01T17:00:00Z,68,26,0,68,56,50,32,0,50,24,44,78,62,54,46,68,36,16,42,0,0,56,60,18,48,62,66,58,34,42,50,8,8,38,86,68,44,64,56,38,52,60,54,64,62,66,50,0,54,82
2001-01-01T18:00:00Z,72,34,0,68,56,52,22,0,56,26,46,80,62,44,46,64,28,22,48,0,0,58,60,12,50,62,68,58,36,36,48,4,14,38,86,74,52,62,52,34,54,64,58,64,60,60,56,0,54,84
2001-01-01T19:00:00Z,72,42,0,64,56,50,26,0,64,28,46,82,62,32,50,66,34,24,46,0,0,58,66,20,56,64,70,60,42,36,52,6,14,38,86,76,56,62,54,48,54,64,58,62,62,60,48,0,50,86
2001-01-01T20:00:00Z,74,48,0,62,56,54,40,0,64,30,48,80,64,48,54,70,44,32,44,0,0,60,66,16,56,66,68,64,42,40,48,10,20,40,88,74,56,66,58,54,54,72,54,62,68,70,52,0,48,82
2001-01-01T21:00:00Z,74,54,0,68,54,58,44,0,64,32,48,82,62,56,52,70,44,40,44,0,0,60,70,26,60,64,66,66,46,42,50,16,12,46,90,76,58,68,64,56,56,68,62,64,70,70,60,0,50,84
2001-01-01T22:00:00Z,74,54,0,70,60,68,50,0,64,30,50,84,62,50,56,72,54,48,48,0,0,60,76,28,70,66,66,70,50,46,54,22,16,50,88,74,62,70,68,58,56,64,66,62,72,72,64,0,58,84
2001-01-01T23:00:00Z,76,62,0,74,58,72,46,0,64,44,50,86,62,48,60,72,56,54,52,0,0,58,74,28,76,70,66,70,54,50,52,24,14,58,88,74,60,68,66,64,58,68,68,64,68,70,68,0,60,86
2001-01-02T00:00:00Z,76,68,0,76,60,76,56,0,66,60,50,88,64,46,62,72,60,60,56,0,0,52,76,28,76,68,62,72,62,46,56,32,32,58,86,76,64,72,70,70,58,66,74,62,70,74,70,0,64,82
2001-01-02T01:00:00Z,72,0,0,76,58,74,66,0,56,68,50,88,64,48,66,74,64,60,56,0,0,52,72,40,74,66,52,70,64,48,58,44,36,62,84,72,68,72,68,68,62,72,72,58,72,74,64,0,64,84
2001-01-02T02:00:00Z,68,66,0,76,60,74,64,0,56,64,52,86,68,42,62,78,66,60,58,0,0,68,74,44,74,68,48,70,62,54,60,40,38,50,90,68,72,72,72,72,64,76,74,58,74,74,70,0,66,80
2001-01-02T03:00:00Z,66,70,0,74,58,78,60,0,52,50,56,82,68,46,58,76,66,60,62,0,0,64,76,32,72,68,20,70,62,58,62,38,42,50,88,68,70,72,68,72,64,76,76,56,74,74,60,0,66,76
2001-01-02T04:00:00Z,72,64,0,78,58,64,64,0,50,50,50,78,70,48,58,74,68,62,62,0,0,62,74,34,74,68,12,78,54,56,60,38,42,50,82,66,66,76,74,70,62,74,74,54,80,78,56,0,64,74
2001-01-02T05:00:00Z,74,58,0,74,64,54,64,0,48,38,52,72,68,48,52,74,68,54,58,0,0,62,70,36,70,72,10,74,48,54,64,36,42,48,82,68,66,76,70,58,62,72,66,54,80,76,58,0,64,74
2001-01-02T06:00:00Z,68,48,0,72,62,56,44,0,48,42,52,68,70,50,52,72,58,40,60,0,0,72,70,20,70,76,24,70,38,50,60,16,32,42,74,68,64,72,72,42,62,68,54,50,74,76,54,0,68,76
2001-01-02T07:00:00Z,66,36,0,72,60,58,36,0,42,22,52,62,72,54,50,66,44,28,56,0,0,70,56,8,52,74,8,66,30,46,52,10,12,30,80,64,50,72,72,30,62,58,44,50,70,74,42,0,62,76
2001-01-02T08:00:00Z,64,26,0,72,50,52,28,0,38,14,54,66,70,46,40,64,40,26,58,0,0,66,54,6,44,72,4,66,16,42,50,8,12,18,76,56,42,72,68,22,64,56,30,54,70,74,26,0,56,76
2001-01-02T09:00:00Z,62,26,0,66,48,34,30,0,28,14,54,52,64,32,34,62,40,28,62,0,0,64,50,10,50,70,28,62,14,42,42,10,6,24,62,48,38,72,72,14,64,60,36,58,68,72,22,0,56,74
