,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-1.829999, 52.437165)","(-3.034178, 52.50385)","(-1.510436, 53.56292)","(-5.928833, 54.59965)","(-1.875024, 52.47609)","(-3.007175, 53.80489)","(-1.918235, 52.481346)","(-1.826744, 50.73957)","(-2.584482, 51.462839)","(-0.147572, 50.840836)","(-3.205782, 55.862281)","(1.098061, 51.27399)","(-3.17625, 51.48178)","(-1.438228, 51.149617)","(-0.125889, 51.52229)","(-1.560228, 52.411563)","(-3.006953, 51.6538)","(-7.331179, 55.002818)","(-3.182186, 55.945589)","(-3.206111, 55.31531)","(-3.532465, 50.725083)","(-5.101102, 56.82266)","(-2.472056, 53.46008)","(-4.243631, 55.865782)","(-0.125254, 51.584128)","(-0.460861, 51.49633)","(-0.80855, 54.334944)","(-0.441614, 51.48879)","(-0.341222, 53.74878)","(-0.213492, 51.52105)","(-1.752006, 53.40337)","(-1.533119, 52.28881)","(-1.127311, 52.619823)","(-1.546472, 53.80378)","(-2.736665, 52.22174)","(-1.185319, 60.13922)","(0.18125, 50.7937)","(-7.900328, 54.43951)","(0.070766, 51.45258)","(-2.844333, 53.34633)","(-2.68345, 51.05625)","(-2.239218, 53.371306)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.772222, 52.554444)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-0.916605, 52.272257)","(1.049031, 51.77798)","(-3.196527, 55.657472)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(0.634889, 51.45617)","(0.678408, 51.544206)","(-1.478096, 53.378622)","(1.463497, 52.2944)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-1.406878, 54.88361)","(-4.776583, 57.734456)","(0.317969, 51.47707)","(-3.022722, 53.37287)","(-2.030523, 52.605621)","(1.122017, 52.95049)","(0.290917, 52.2985)","(-2.638139, 53.54914)","(-3.71651, 50.5976)"
2019-01-01T00:00:00Z,76,66,71,70,60,51,44,0,0,76,54,54,69,51,49,66,35,64,71,0,54,70,52,79,63,67,60,60,67,57,52,50,64,56,57,0,67,70,67,60,53,64,73,61,39,54,70,29,64,60,45,61,61,70,62,65,47,58,62,52,61,56,60,63,50,57,77,75,0,58,62,61,65,69,66
2019-01-01T01:00:00Z,73,70,61,70,60,55,41,0,0,75,56,47,72,47,44,73,35,61,65,0,58,72,53,77,60,73,61,62,64,53,56,52,63,56,52,58,65,69,61,70,57,66,75,62,43,48,67,34,61,62,38,60,63,72,56,61,55,59,60,51,67,57,62,62,56,54,74,74,0,59,61,62,64,68,65
2019-01-01T02:00:00Z,72,71,58,71,60,55,39,0,0,75,56,52,76,58,42,74,41,58,57,0,61,76,53,65,63,73,62,65,67,62,56,51,61,51,55,53,62,70,65,69,63,64,76,61,45,57,66,40,62,62,44,57,63,76,57,67,57,58,59,54,65,62,60,61,54,47,75,74,0,60,54,62,63,66,66
2019-01-01T03:00:00Z,72,65,56,72,59,50,38,0,0,77,50,60,74,60,38,74,50,56,52,0,57,79,56,55,59,62,64,63,71,63,59,50,59,47,54,51,45,71,66,68,65,67,76,61,41,58,64,50,62,60,42,55,60,76,56,69,56,57,55,54,68,64,59,61,58,48,79,72,0,61,54,63,63,64,67
2019-01-01T04:00:00Z,70,63,0,71,59,48,40,0,0,76,50,60,70,65,39,72,39,57,61,0,50,0,56,52,60,62,60,54,70,52,58,44,57,46,53,55,49,0,68,67,61,64,75,59,40,55,62,37,55,60,45,58,60,73,58,64,54,55,52,51,64,60,56,62,59,51,83,71,0,59,59,62,60,64,66
2019-01-01T05:00:00Z,67,63,58,73,61,69,50,0,0,71,45,58,66,62,49,68,32,55,67,0,49,73,55,55,60,65,51,35,69,45,60,37,59,45,50,60,56,71,70,69,49,60,71,57,41,52,60,14,55,59,45,58,59,70,55,67,55,56,48,48,61,55,54,61,58,52,88,71,0,56,63,60,58,65,67
2019-01-01T06:00:00Z,66,62,0,72,62,67,36,0,0,68,23,53,66,55,44,64,35,57,65,0,46,0,54,47,59,62,48,32,72,40,61,37,57,44,49,60,53,0,67,69,44,59,69,55,42,61,58,14,59,57,45,58,57,64,47,65,52,54,38,45,57,51,60,0,51,53,93,71,0,55,65,58,55,66,68
2019-01-01T07:00:00Z,68,59,0,72,62,68,53,0,0,63,16,47,65,54,35,56,21,56,65,0,44,0,53,40,59,31,39,33,83,38,58,29,57,41,51,59,54,75,61,62,41,56,66,56,48,67,57,14,63,54,37,56,57,52,48,65,41,53,33,45,50,48,62,56,45,52,98,73,0,53,61,57,58,62,67
2019-01-01T08:00:00Z,68,61,60,70,63,64,43,0,0,51,4,37,64,55,41,53,25,55,62,0,41,0,43,26,58,30,39,21,82,36,61,29,63,42,48,60,64,0,61,63,39,53,62,56,49,61,55,12,31,50,34,54,53,38,51,64,21,62,43,45,52,44,63,54,23,53,111,75,0,53,57,55,54,63,65
2019-01-01T09:00:00Z,72,58,0,69,63,52,44,0,0,57,4,44,59,56,39,50,22,53,55,0,39,0,40,11,66,21,36,35,80,37,62,31,67,42,46,57,59,0,62,65,39,66,56,63,53,55,56,11,19,51,32,51,53,30,51,62,28,62,45,44,53,46,67,53,33,49,124,77,0,65,54,55,52,69,62
