,"(-2.094278, 57.15736)","(-5.928833, 54.59965)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-0.125889, 51.52229)","(-7.329115, 55.001225)","(-2.334139, 53.48481)","(-4.255161, 55.85773)","(-4.258889, 55.85917)","(-3.704399, 56.010319)","(-1.325283, 51.571078)","(-0.068218, 51.5993)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.546472, 53.80378)","(-1.133006, 52.631348)","(-7.900328, 54.43951)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(-1.146447, 52.95473)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(0.634889, 51.45617)","(-1.473306, 53.37772)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(0.317969, 51.47707)"
2001-01-01T00:00:00Z,51,0,22,16,16,8,20,1,17,0,8,14,0,17,7,82,5,10,7,27,8,9,20,27,31,43,10,23,10,5
2001-01-01T01:00:00Z,22,0,21,14,12,14,16,4,14,0,9,14,0,14,5,10,0,16,4,26,5,7,22,35,25,10,9,16,8,12
2001-01-01T02:00:00Z,25,0,17,18,10,20,12,7,12,0,12,13,0,8,10,12,5,13,9,35,9,7,26,29,25,8,10,20,12,8
2001-01-01T03:00:00Z,20,0,18,16,13,17,14,8,18,0,4,12,0,13,10,16,9,12,9,34,9,13,22,23,22,9,12,20,10,5
2001-01-01T04:00:00Z,21,0,21,4,20,13,22,16,26,0,10,18,0,20,12,17,9,16,12,30,13,13,23,34,29,7,13,22,9,10
2001-01-01T05:00:00Z,21,0,23,9,21,16,21,14,40,0,7,21,0,22,5,9,12,30,12,27,16,18,29,31,23,14,12,16,5,14
2001-01-01T06:00:00Z,18,0,20,21,14,17,8,10,25,0,5,16,0,17,7,10,5,21,13,22,16,8,30,40,22,17,10,20,7,13
2001-01-01T07:00:00Z,20,0,17,26,13,18,9,14,48,0,5,16,0,16,8,18,5,17,10,23,16,4,30,43,17,12,16,8,7,12
2001-01-01T08:00:00Z,20,0,20,26,14,20,10,14,35,0,12,13,0,13,12,18,7,16,14,23,13,7,34,47,16,17,14,12,3,10
2001-01-01T09:00:00Z,20,0,16,33,7,21,9,18,17,0,23,9,0,7,18,16,8,13,14,22,9,16,39,53,33,18,10,30,4,13
2001-01-01T10:00:00Z,18,0,17,40,10,18,21,20,17,0,23,10,0,12,23,17,14,21,10,23,13,18,39,53,35,20,14,40,14,5
2001-01-01T11:00:00Z,22,0,27,46,29,18,22,20,16,0,31,23,0,29,27,26,18,13,12,39,17,21,39,49,25,16,17,31,18,16
2001-01-01T12:00:00Z,30,0,43,43,33,23,25,12,10,0,34,33,0,34,33,30,22,13,12,44,16,25,31,43,25,17,22,26,23,20
2001-01-01T13:00:00Z,35,0,39,35,29,21,23,9,8,0,27,30,0,30,36,22,25,10,20,42,17,29,29,46,27,22,27,27,26,17
2001-01-01T14:00:00Z,34,0,34,30,26,22,25,12,9,0,25,26,0,26,35,30,26,16,25,34,18,33,35,47,35,18,29,33,34,14
2001-01-01T15:00:00Z,39,0,35,31,31,30,30,12,9,0,20,27,0,30,27,35,27,17,26,40,21,39,36,44,34,23,34,34,29,21
2001-01-01T16:00:00Z,38,0,39,30,31,33,27,9,8,0,21,31,0,30,22,38,21,17,25,40,23,33,38,51,34,21,34,31,18,18
2001-01-01T17:00:00Z,43,0,40,33,30,36,40,12,8,0,26,31,0,31,21,38,18,22,30,38,31,29,31,47,38,22,18,27,18,21
2001-01-01T18:00:00Z,43,0,42,29,30,21,40,10,13,0,25,31,0,29,23,38,17,17,30,38,30,27,30,36,33,21,22,22,22,22
2001-01-01T19:00:00Z,43,0,33,29,18,17,42,17,22,0,22,21,0,18,23,25,20,14,23,33,31,21,30,44,29,21,23,21,22,20
2001-01-01T20:00:00Z,44,0,26,25,17,17,44,14,18,0,20,18,0,18,25,27,20,17,22,33,31,20,29,43,26,12,23,21,18,5
2001-01-01T21:00:00Z,53,0,29,31,20,20,39,7,1,0,14,21,0,21,21,29,16,21,25,35,25,23,25,27,33,16,23,25,16,10
2001-01-01T22:00:00Z,46,0,30,23,25,22,40,7,5,0,10,23,0,25,14,25,13,20,22,31,26,23,33,40,33,17,22,23,13,16
2001-01-01T23:00:00Z,44,0,30,14,21,18,22,5,3,0,14,23,0,22,10,25,9,16,22,29,26,12,30,33,29,16,20,22,18,12
2001-01-02T00:00:00Z,40,0,26,13,17,8,22,8,4,0,17,18,0,18,14,21,5,16,20,25,25,8,30,31,29,14,14,20,8,12
2001-01-02T01:00:00Z,38,0,20,22,14,10,16,5,5,0,17,14,0,14,12,18,9,16,21,22,25,13,31,33,21,13,12,22,3,12
2001-01-02T02:00:00Z,34,0,18,23,13,12,8,5,4,0,17,13,0,14,10,14,5,12,17,17,26,9,18,31,21,12,7,17,4,7
2001-01-02T03:00:00Z,36,0,17,12,12,7,17,5,5,0,17,12,0,13,14,16,4,8,12,16,23,9,14,30,22,13,4,16,5,8
2001-01-02T04:00:00Z,36,0,20,12,14,5,13,13,9,0,17,13,0,14,17,12,8,4,10,20,20,10,16,35,26,14,8,21,12,12
2001-01-02T05:00:00Z,43,0,22,9,18,5,22,16,10,0,18,17,0,18,16,9,12,5,10,22,17,13,16,38,29,16,12,20,9,13
2001-01-02T06:00:00Z,31,0,29,18,22,4,21,14,9,0,17,21,0,22,7,16,12,9,8,31,16,17,4,29,29,17,14,23,8,14
2001-01-02T07:00:00Z,27,0,35,22,26,5,29,12,14,0,17,25,0,23,7,22,10,7,13,40,18,18,-1,20,29,18,14,23,7,14
2001-01-02T08:00:00Z,40,0,38,22,27,8,30,16,20,0,14,27,0,25,13,25,9,9,16,42,18,17,4,16,33,18,14,27,7,16
2001-01-02T09:00:00Z,44,0,34,23,22,17,31,21,27,0,17,22,0,20,14,22,12,9,12,42,22,14,5,18,33,18,16,33,9,14
2001-01-02T10:00:00Z,38,0,34,17,25,23,22,21,39,0,13,25,0,22,14,23,17,9,10,42,23,13,10,26,34,18,21,30,13,13
2001-01-02T11:00:00Z,42,0,34,22,25,13,23,21,51,0,14,26,0,23,12,17,0,8,9,47,21,12,14,23,30,20,20,34,14,18
2001-01-02T12:00:00Z,29,0,27,23,23,16,16,21,35,0,17,22,0,21,13,17,0,8,14,43,20,16,5,23,35,23,21,26,17,18
2001-01-02T13:00:00Z,25,0,30,21,23,14,17,22,42,0,12,21,0,20,10,25,0,8,13,39,20,16,10,18,26,29,18,27,14,7
2001-01-02T14:00:00Z,27,0,27,22,20,20,26,23,46,0,10,21,0,17,21,27,0,12,25,34,21,16,13,17,23,25,17,27,14,22
