,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-6.654558, 54.353728)","(-5.974944, 54.572586)","(-5.928833, 54.59965)","(-1.830583, 52.511722)","(-1.875024, 52.47609)","(-4.041924, 51.074793)","(-2.583975, 51.457968)","(-2.584482, 51.462839)","(-2.293772, 53.559029)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.490082, 52.407708)","(-7.331179, 55.002818)","(-0.265617, 51.51895)","(-1.358547, 54.516667)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-1.124228, 52.638677)","(-2.844333, 53.34633)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-1.188851, 52.969377)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(-0.940382, 51.454896)","(0.634889, 51.45617)","(-1.463484, 50.920265)","(-4.227678, 50.411463)","(-0.636811, 53.58634)","(-0.300306, 52.132417)","(-1.478096, 53.378622)","(-2.742134, 53.451826)","(-0.05955, 51.480499)","(-1.395778, 50.90814)","(-2.111898, 52.980436)","(-0.449548, 50.916932)","(-3.947374, 51.632696)","(0.317969, 51.47707)","(-2.615358, 53.38928)","(-3.002778, 53.04222)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2017-01-01T00:00:00Z,13,0,6,10,7,20,28,17,0,29,40,44,27,17,51,22,13,30,12,29,0,11,57,4,16,0,6,2,9,11,31,10,37,19,21,14,15,21,0,9,18,1,26,50,30,21,0,12,19,31,20,33,37,0,39,21,16,23,14,0,39,0,16,21,27,37,12,6,22,14
2017-01-01T01:00:00Z,11,0,6,5,7,16,22,21,0,28,13,34,19,4,27,23,9,29,10,32,0,6,44,3,9,0,9,3,8,8,27,0,33,15,20,11,15,20,0,5,0,2,22,15,29,17,0,16,14,54,0,24,19,0,38,17,12,27,12,0,28,0,10,20,21,18,12,0,13,8
2017-01-01T02:00:00Z,4,0,5,7,5,13,20,13,0,23,16,28,19,6,29,23,11,26,8,23,0,5,67,2,8,0,8,2,4,3,22,0,29,15,19,20,16,20,0,3,0,2,25,17,24,16,0,13,13,29,0,24,28,0,24,14,11,25,13,0,25,0,11,25,16,19,12,0,11,9
2017-01-01T03:00:00Z,7,0,2,8,5,14,22,7,0,19,15,24,16,6,29,25,12,25,12,22,0,6,29,3,10,0,5,4,6,3,24,0,24,16,18,5,13,15,0,5,0,3,33,14,21,15,0,11,11,27,0,23,27,0,20,10,13,23,14,0,22,0,12,25,18,19,9,0,9,7
2017-01-01T04:00:00Z,8,0,2,3,4,12,15,8,0,14,11,23,12,2,33,20,14,17,13,25,0,5,30,5,8,0,4,2,2,1,25,0,27,15,15,3,4,16,0,7,0,2,33,16,22,15,0,0,10,29,0,28,23,0,19,12,14,23,14,0,22,0,12,23,21,22,7,0,3,2
2017-01-01T05:00:00Z,7,0,0,1,4,17,23,13,0,12,9,24,11,1,29,20,12,15,12,25,0,7,29,5,2,0,4,1,5,3,24,0,25,16,19,-1,3,18,0,5,0,5,32,15,21,14,0,0,11,26,0,26,24,0,16,10,11,24,7,0,25,0,7,18,15,22,4,0,2,1
2017-01-01T06:00:00Z,5,0,2,2,4,15,10,0,0,8,3,22,11,2,30,16,3,15,2,23,0,8,30,4,2,0,1,2,3,3,27,0,26,18,21,1,3,16,0,8,0,6,27,14,18,12,0,0,12,24,0,19,20,0,14,10,4,24,4,0,25,0,1,21,2,24,4,0,5,2
2017-01-01T07:00:00Z,4,0,2,5,3,5,8,6,0,7,2,23,12,3,24,14,2,14,-2,22,0,6,26,1,3,0,1,2,6,2,29,0,24,20,20,4,7,21,0,10,0,8,26,7,15,9,0,4,10,19,0,17,19,0,12,12,-1,26,4,0,22,0,3,24,3,21,3,0,2,-2
2017-01-01T08:00:00Z,6,0,2,7,3,5,2,10,0,9,9,20,10,4,31,10,2,12,4,21,0,9,23,21,5,0,5,2,5,3,23,0,24,12,12,4,4,14,0,11,0,4,22,5,13,1,0,4,11,18,0,12,25,0,8,10,2,23,3,0,21,0,5,18,4,18,2,0,8,1
2017-01-01T09:00:00Z,6,0,2,5,3,0,-2,6,0,7,7,24,4,2,28,9,4,6,0,20,0,9,28,7,8,0,4,3,4,6,25,0,20,7,9,6,7,4,0,11,0,3,22,5,10,1,0,2,11,12,0,12,15,0,6,11,1,21,5,0,20,0,6,14,4,24,4,0,4,0
