,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-6.654558, 54.353728)","(-5.974944, 54.572586)","(-5.928833, 54.59965)","(-1.875024, 52.47609)","(-1.918235, 52.481346)","(-4.041924, 51.074793)","(-2.583975, 51.457968)","(-2.584482, 51.462839)","(-2.293772, 53.559029)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-3.152305, 51.49096)","(-1.490082, 52.407708)","(-7.331179, 55.002818)","(-0.265617, 51.51895)","(-1.358547, 54.516667)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-0.441614, 51.48879)","(-0.305749, 53.758971)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-1.124228, 52.638677)","(-7.900328, 54.43951)","(-2.844333, 53.34633)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.595362, 54.986405)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-1.188851, 52.969377)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-1.095558, 50.798339)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(-0.940382, 51.454896)","(0.634889, 51.45617)","(-1.463484, 50.920265)","(-4.227678, 50.411463)","(-0.636811, 53.58634)","(-0.300306, 52.132417)","(-1.478096, 53.378622)","(-2.742134, 53.451826)","(-0.05955, 51.480499)","(-1.395778, 50.90814)","(-2.111898, 52.980436)","(-3.947374, 51.632696)","(0.317969, 51.47707)","(-2.615358, 53.38928)","(-3.002778, 53.04222)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2018-01-01T00:00:00Z,7,0,9,10,9,0,0,0,16,17,24,16,13,14,21,0,6,0,9,11,0,0,7,15,2,0,8,7,3,0,0,10,7,27,8,12,7,11,16,15,0,0,0,13,19,0,9,1,13,0,0,6,0,19,7,0,31,9,16,0,6,0,0,6,16,0,13,0,18,23,15,0,9,11,0
2018-01-01T01:00:00Z,4,0,5,11,7,0,0,0,14,11,18,8,7,11,7,0,7,0,11,9,0,0,6,8,4,0,5,9,4,0,0,10,5,14,0,7,6,12,16,15,0,0,0,9,0,0,5,3,11,0,0,9,0,24,9,0,0,9,8,0,6,0,0,5,12,0,6,9,5,17,6,0,0,8,0
2018-01-01T02:00:00Z,2,0,5,7,5,0,0,0,12,7,10,6,19,12,4,0,8,0,5,7,0,0,7,5,6,0,4,8,5,0,0,7,4,18,0,6,8,12,13,17,0,0,0,7,0,0,5,4,10,0,0,1,0,23,13,0,0,1,6,0,5,0,0,6,11,0,6,9,7,17,8,0,0,15,0
2018-01-01T03:00:00Z,4,0,6,8,6,0,0,0,14,10,7,2,19,10,7,0,5,0,8,6,0,0,8,5,9,0,3,8,4,0,0,3,3,13,0,3,3,9,10,10,0,0,0,12,0,0,7,7,10,0,0,3,0,25,12,0,0,0,4,0,4,0,0,6,12,0,4,8,5,25,3,0,0,10,0
2018-01-01T04:00:00Z,8,0,7,6,7,0,0,0,14,13,9,1,17,11,8,0,6,0,5,1,0,0,7,2,8,0,4,10,5,0,0,2,3,11,0,4,2,7,5,9,0,0,0,7,0,0,4,5,6,0,0,3,0,24,12,0,0,1,6,0,10,0,0,6,9,0,6,13,7,32,4,0,0,8,0
2018-01-01T05:00:00Z,5,0,7,3,7,0,0,0,16,14,6,8,28,13,12,0,9,0,8,6,0,0,5,7,6,0,7,4,6,0,0,3,6,12,0,5,9,11,9,7,0,0,0,6,0,0,2,5,8,0,0,7,0,18,20,0,0,3,7,0,11,0,0,7,11,0,8,18,6,30,7,0,0,7,0
2018-01-01T06:00:00Z,3,0,10,3,7,0,0,0,17,14,7,10,25,12,11,0,10,0,10,10,0,0,11,9,6,0,0,3,7,0,0,8,10,11,0,9,11,12,6,8,0,0,0,7,0,0,1,4,14,0,0,11,0,9,20,0,0,2,8,0,15,0,0,9,9,0,12,19,6,23,11,0,0,10,0
2018-01-01T07:00:00Z,4,0,10,7,6,0,0,0,19,16,10,14,14,12,19,0,10,0,10,10,0,0,11,14,7,0,2,10,6,0,0,11,13,11,0,12,0,13,7,8,0,0,0,7,0,0,2,4,7,0,0,12,0,4,22,0,0,7,10,0,22,0,0,13,11,0,14,24,9,28,12,0,0,7,0
2018-01-01T08:00:00Z,3,0,7,9,10,0,0,0,21,16,14,19,20,12,24,0,10,0,12,15,0,0,7,19,8,0,6,9,10,0,0,16,17,12,0,15,2,16,10,8,0,0,0,10,0,0,6,7,9,0,0,11,0,4,28,0,0,8,11,0,18,0,0,12,11,0,17,26,6,13,16,0,0,8,0
2018-01-01T09:00:00Z,2,0,7,9,11,0,0,0,30,20,9,20,14,16,25,0,10,0,12,19,0,0,7,16,9,0,6,13,11,0,0,14,21,14,0,18,17,16,11,9,0,0,0,9,0,0,2,10,9,0,0,14,0,6,19,0,0,10,15,0,9,0,0,16,10,0,20,11,7,8,18,0,0,11,0
