,"(-0.125889, 51.52229)","(-1.325283, 51.571078)","(-0.154611, 51.52253)","(0.634889, 51.45617)"
2001-01-01T00:00:00Z,12,7,29,28
2001-01-01T01:00:00Z,10,6,17,5
2001-01-01T02:00:00Z,7,7,9,5
2001-01-01T03:00:00Z,8,4,23,4
2001-01-01T04:00:00Z,10,7,15,2
2001-01-01T05:00:00Z,8,5,15,6
2001-01-01T06:00:00Z,6,4,10,6
2001-01-01T07:00:00Z,7,3,10,5
2001-01-01T08:00:00Z,6,5,10,7
2001-01-01T09:00:00Z,3,8,11,8
2001-01-01T10:00:00Z,5,10,11,7
2001-01-01T11:00:00Z,11,11,20,7
2001-01-01T12:00:00Z,12,12,22,7
2001-01-01T13:00:00Z,13,10,20,9
2001-01-01T14:00:00Z,10,9,19,8
2001-01-01T15:00:00Z,12,9,25,10
2001-01-01T16:00:00Z,12,9,21,9
2001-01-01T17:00:00Z,14,11,22,10
2001-01-01T18:00:00Z,12,10,21,10
2001-01-01T19:00:00Z,10,10,18,9
2001-01-01T20:00:00Z,5,8,17,6
2001-01-01T21:00:00Z,10,6,18,7
2001-01-01T22:00:00Z,10,5,16,8
2001-01-01T23:00:00Z,10,8,14,7
2001-01-02T00:00:00Z,7,8,16,6
2001-01-02T01:00:00Z,6,7,9,6
2001-01-02T02:00:00Z,6,6,9,5
2001-01-02T03:00:00Z,5,6,10,6
2001-01-02T04:00:00Z,5,6,11,5
2001-01-02T05:00:00Z,7,7,12,6
2001-01-02T06:00:00Z,9,7,18,7
2001-01-02T07:00:00Z,11,7,25,7
2001-01-02T08:00:00Z,11,7,24,8
2001-01-02T09:00:00Z,10,8,20,8
2001-01-02T10:00:00Z,12,7,22,8
2001-01-02T11:00:00Z,12,6,0,8
2001-01-02T12:00:00Z,11,6,15,10
2001-01-02T13:00:00Z,13,5,15,10
2001-01-02T14:00:00Z,9,6,18,9
2001-01-02T15:00:00Z,11,4,19,8
2001-01-02T16:00:00Z,10,5,23,7
2001-01-02T17:00:00Z,9,6,21,9
2001-01-02T18:00:00Z,11,8,22,9
2001-01-02T19:00:00Z,10,8,20,9
2001-01-02T20:00:00Z,9,8,41,9
2001-01-02T21:00:00Z,8,6,20,8
2001-01-02T22:00:00Z,9,7,22,9
2001-01-02T23:00:00Z,7,7,17,7
2001-01-03T00:00:00Z,6,7,14,7
2001-01-03T01:00:00Z,6,8,13,7
2001-01-03T02:00:00Z,8,8,16,8
2001-01-03T03:00:00Z,8,7,14,8
2001-01-03T04:00:00Z,8,8,16,9
2001-01-03T05:00:00Z,9,5,18,9
2001-01-03T06:00:00Z,10,5,23,9
2001-01-03T07:00:00Z,10,5,30,9
2001-01-03T08:00:00Z,23,7,34,9
2001-01-03T09:00:00Z,24,8,37,11
2001-01-03T10:00:00Z,17,10,36,11
2001-01-03T11:00:00Z,16,9,32,0
2001-01-03T12:00:00Z,14,0,28,13
2001-01-03T13:00:00Z,12,3,27,7
2001-01-03T14:00:00Z,21,6,28,7
2001-01-03T15:00:00Z,10,4,22,0
2001-01-03T16:00:00Z,16,5,19,10
2001-01-03T17:00:00Z,9,6,19,7
2001-01-03T18:00:00Z,10,5,17,3
2001-01-03T19:00:00Z,5,3,8,4
2001-01-03T20:00:00Z,9,4,17,3
2001-01-03T21:00:00Z,12,6,23,8
2001-01-03T22:00:00Z,12,5,24,7
2001-01-03T23:00:00Z,10,4,24,7
2001-01-04T00:00:00Z,10,6,19,6
2001-01-04T01:00:00Z,8,7,15,5
2001-01-04T02:00:00Z,6,8,12,4
2001-01-04T03:00:00Z,8,9,13,4
2001-01-04T04:00:00Z,7,7,13,3
2001-01-04T05:00:00Z,6,7,15,2
2001-01-04T06:00:00Z,9,4,22,5
2001-01-04T07:00:00Z,11,3,33,4
2001-01-04T08:00:00Z,11,4,29,3
2001-01-04T09:00:00Z,5,6,22,5
2001-01-04T10:00:00Z,8,7,32,3
2001-01-04T11:00:00Z,10,7,38,9
2001-01-04T12:00:00Z,9,7,34,5
2001-01-04T13:00:00Z,12,7,31,6
2001-01-04T14:00:00Z,9,7,27,6
2001-01-04T15:00:00Z,9,8,29,8
2001-01-04T16:00:00Z,8,6,28,10
2001-01-04T17:00:00Z,9,6,28,6
2001-01-04T18:00:00Z,11,5,24,9
2001-01-04T19:00:00Z,13,5,25,8
2001-01-04T20:00:00Z,12,5,29,8
2001-01-04T21:00:00Z,9,5,22,7
2001-01-04T22:00:00Z,11,6,27,7
2001-01-04T23:00:00Z,10,5,24,7
2001-01-05T00:00:00Z,8,7,20,7
2001-01-05T01:00:00Z,7,5,10,4
2001-01-05T02:00:00Z,2,4,4,0
2001-01-05T03:00:00Z,0,4,5,0
2001-01-05T04:00:00Z,-1,2,3,0
2001-01-05T05:00:00Z,4,4,4,-2
2001-01-05T06:00:00Z,7,5,7,1
2001-01-05T07:00:00Z,11,5,11,4
2001-01-05T08:00:00Z,13,8,9,4
2001-01-05T09:00:00Z,10,8,12,9
2001-01-05T10:00:00Z,12,10,20,7
2001-01-05T11:00:00Z,14,9,25,6
2001-01-05T12:00:00Z,14,10,18,7
2001-01-05T13:00:00Z,14,10,28,9
2001-01-05T14:00:00Z,13,13,31,10
2001-01-05T15:00:00Z,11,12,31,10
2001-01-05T16:00:00Z,15,14,23,12
2001-01-05T17:00:00Z,18,14,28,10
2001-01-05T18:00:00Z,18,16,21,13
2001-01-05T19:00:00Z,15,19,20,14
2001-01-05T20:00:00Z,18,13,26,17
2001-01-05T21:00:00Z,20,13,45,15
2001-01-05T22:00:00Z,20,14,30,14
2001-01-05T23:00:00Z,18,11,25,15
2001-01-06T00:00:00Z,16,13,23,18
2001-01-06T01:00:00Z,12,14,22,18
2001-01-06T02:00:00Z,19,10,24,15
2001-01-06T03:00:00Z,10,12,14,12
2001-01-06T04:00:00Z,9,12,13,12
2001-01-06T05:00:00Z,8,10,15,12
2001-01-06T06:00:00Z,10,8,25,12
2001-01-06T07:00:00Z,15,9,38,11
2001-01-06T08:00:00Z,15,11,36,13
2001-01-06T09:00:00Z,13,10,35,16
2001-01-06T10:00:00Z,16,7,36,9
2001-01-06T11:00:00Z,11,7,29,9
2001-01-06T12:00:00Z,10,5,27,9
2001-01-06T13:00:00Z,9,6,27,6
2001-01-06T14:00:00Z,10,5,25,9
2001-01-06T15:00:00Z,9,6,27,8
2001-01-06T16:00:00Z,8,6,24,8
2001-01-06T17:00:00Z,6,6,26,10
2001-01-06T18:00:00Z,16,8,28,10
2001-01-06T19:00:00Z,16,8,27,12
2001-01-06T20:00:00Z,15,9,25,13
2001-01-06T21:00:00Z,12,8,25,10
2001-01-06T22:00:00Z,13,8,26,11
2001-01-06T23:00:00Z,12,8,27,10
2001-01-07T00:00:00Z,13,8,25,9
2001-01-07T01:00:00Z,8,7,20,4
2001-01-07T02:00:00Z,7,7,14,5
2001-01-07T03:00:00Z,3,6,13,3
2001-01-07T04:00:00Z,7,7,14,4
2001-01-07T05:00:00Z,5,7,10,4
2001-01-07T06:00:00Z,6,7,11,6
2001-01-07T07:00:00Z,7,8,16,7
2001-01-07T08:00:00Z,7,9,19,9
2001-01-07T09:00:00Z,10,10,23,9
2001-01-07T10:00:00Z,12,10,27,7
2001-01-07T11:00:00Z,1,9,23,7
2001-01-07T12:00:00Z,9,7,24,8
2001-01-07T13:00:00Z,12,7,22,9
2001-01-07T14:00:00Z,10,8,23,9
2001-01-07T15:00:00Z,8,6,27,9
2001-01-07T16:00:00Z,10,7,34,10
2001-01-07T17:00:00Z,14,8,33,13
2001-01-07T18:00:00Z,15,8,28,16
2001-01-07T19:00:00Z,17,7,26,15
2001-01-07T20:00:00Z,15,8,27,12
2001-01-07T21:00:00Z,13,9,25,11
2001-01-07T22:00:00Z,13,9,23,11
2001-01-07T23:00:00Z,11,9,21,10
2001-01-08T00:00:00Z,9,8,15,9
2001-01-08T01:00:00Z,10,8,13,9
2001-01-08T02:00:00Z,8,8,11,8
2001-01-08T03:00:00Z,9,7,13,7
2001-01-08T04:00:00Z,9,6,17,7
2001-01-08T05:00:00Z,10,6,20,7
2001-01-08T06:00:00Z,9,6,26,7
2001-01-08T07:00:00Z,11,7,44,7
2001-01-08T08:00:00Z,16,8,39,8
