,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-1.829999, 52.437165)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-1.830583, 52.511722)","(-1.875024, 52.47609)","(-3.007175, 53.80489)","(-1.826744, 50.73957)","(-4.041924, 51.074793)","(-2.584482, 51.462839)","(-0.147572, 50.840836)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.780888, 50.735454)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.560228, 52.411563)","(-7.331179, 55.002818)","(-1.358547, 54.516667)","(0.271611, 50.805778)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-0.131931, 51.49467)","(-0.298777, 51.617333)","(-0.341222, 53.74878)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.127311, 52.619823)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(0.070766, 51.45258)","(-2.844333, 53.34633)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-0.879898, 52.271886)","(-0.916605, 52.272257)","(-1.260278, 51.744806)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(0.634889, 51.45617)","(-4.227678, 50.411463)","(-0.300306, 52.132417)","(0.678408, 51.544206)","(-1.455815, 53.40495)","(-1.478096, 53.378622)","(-1.3159, 54.565819)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-0.449548, 50.916932)","(-1.406878, 54.88361)","(-3.947374, 51.632696)","(-0.345606, 51.425286)","(-3.022722, 53.37287)","(-2.615358, 53.38928)","(-2.638139, 53.54914)","(-3.002778, 53.04222)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2017-01-01T00:00:00Z,10,4,26,2,23,17,23,5,0,17,31,9,40,17,14,43,17,0,10,19,7,28,16,12,1,23,12,27,4,2,7,10,28,11,0,11,4,32,22,18,22,13,9,31,10,15,8,32,3,19,47,33,5,0,0,12,50,16,11,0,0,15,16,24,0,0,5,0,30,20,6,17,0,10,8,14,3,15,8
2017-01-01T01:00:00Z,5,2,17,2,18,13,15,3,0,17,26,0,32,7,5,20,20,0,7,22,6,20,15,4,2,23,8,4,5,2,2,6,22,0,0,10,0,30,22,16,14,7,13,23,5,5,3,34,3,19,11,18,0,0,0,8,26,15,9,0,0,9,18,18,0,0,2,0,10,24,4,10,0,6,4,10,0,9,10
2017-01-01T02:00:00Z,1,2,13,3,17,14,14,1,0,11,22,0,25,7,7,23,21,0,7,19,8,16,14,2,4,21,5,4,6,1,0,3,18,0,0,8,0,22,17,16,13,14,12,20,3,4,5,26,3,23,11,12,0,0,0,7,26,8,10,0,0,8,20,21,0,0,1,0,6,22,2,10,0,0,7,10,0,8,10
2017-01-01T03:00:00Z,2,-1,12,4,19,16,13,3,0,3,19,0,21,5,6,26,21,0,11,17,12,17,14,1,3,18,3,4,2,3,-1,2,18,0,0,13,0,19,24,15,15,10,6,20,0,3,3,23,3,27,12,10,0,0,0,7,24,6,16,0,0,3,19,19,0,0,1,0,8,22,3,11,0,2,5,0,0,7,4
2017-01-01T04:00:00Z,5,1,16,-1,20,11,14,-2,0,3,11,0,25,5,3,26,18,0,11,10,12,20,13,1,3,23,5,3,3,1,0,4,21,0,0,15,0,24,15,12,16,2,1,23,1,4,1,23,4,27,10,8,0,0,0,6,23,2,17,0,0,6,18,21,0,0,1,0,6,22,2,11,0,-1,2,4,0,3,5
2017-01-01T05:00:00Z,2,2,18,2,20,13,16,0,0,1,10,0,25,4,1,24,16,0,12,10,10,20,13,0,3,17,-1,5,1,1,0,2,22,0,0,15,0,26,19,18,13,2,2,22,-1,1,-2,25,1,24,10,9,0,0,0,6,18,1,16,0,0,2,16,21,0,0,1,0,4,21,3,10,0,0,0,-1,0,5,2
2017-01-01T06:00:00Z,0,1,13,3,21,13,13,-3,0,7,9,0,24,2,3,26,12,0,4,10,3,17,14,0,1,22,-1,5,0,1,-1,1,24,0,0,1,0,24,21,16,17,-1,2,25,3,-2,4,24,3,29,14,9,0,0,0,6,14,0,7,0,0,5,19,22,0,0,3,0,2,17,4,6,0,1,1,2,0,3,3
2017-01-01T07:00:00Z,1,5,6,0,17,6,6,-1,0,3,8,0,22,4,3,24,9,0,2,8,7,13,11,1,3,19,0,1,-1,1,-4,0,25,0,0,4,0,20,23,16,17,0,-2,19,1,-3,1,21,2,23,7,6,0,0,0,6,11,-1,2,0,0,4,21,22,0,0,1,0,-2,18,7,6,0,-3,3,2,0,1,4
2017-01-01T08:00:00Z,2,2,9,2,17,5,4,-2,0,4,8,0,19,3,1,24,5,0,2,6,3,16,7,3,4,21,-1,1,-1,1,1,4,20,0,0,2,0,19,13,9,14,4,0,20,-1,-2,4,23,4,22,0,3,0,0,0,3,7,2,0,0,0,2,21,19,0,0,2,0,-2,12,4,6,0,2,3,-2,0,1,3
2017-01-01T09:00:00Z,0,1,4,1,19,2,1,-3,0,4,4,0,20,3,1,26,5,0,4,3,2,12,6,2,4,19,0,1,1,2,2,4,23,0,0,3,0,15,8,10,2,1,0,19,1,-1,-2,18,4,22,0,3,0,0,0,4,7,1,4,0,0,5,14,22,0,0,0,0,-1,8,5,4,0,2,2,-1,0,2,7
