,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-1.829999, 52.437165)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-1.875024, 52.47609)","(-3.007175, 53.80489)","(-1.918235, 52.481346)","(-1.826744, 50.73957)","(-4.041924, 51.074793)","(-2.584482, 51.462839)","(-0.147572, 50.840836)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.780888, 50.735454)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.560228, 52.411563)","(-7.331179, 55.002818)","(-1.358547, 54.516667)","(0.271611, 50.805778)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-0.131931, 51.49467)","(-0.441614, 51.48879)","(-0.341222, 53.74878)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.127311, 52.619823)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-7.900328, 54.43951)","(0.070766, 51.45258)","(-2.844333, 53.34633)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-0.916605, 52.272257)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(0.634889, 51.45617)","(-4.227678, 50.411463)","(-0.300306, 52.132417)","(0.678408, 51.544206)","(-1.455815, 53.40495)","(-1.478096, 53.378622)","(-1.3159, 54.565819)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-1.406878, 54.88361)","(-3.947374, 51.632696)","(-0.345606, 51.425286)","(-3.022722, 53.37287)","(-2.615358, 53.38928)","(-2.638139, 53.54914)","(-3.002778, 53.04222)","(-0.379916, 50.832947)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2018-01-01T00:00:00Z,8,0,24,7,10,11,2,0,18,0,25,4,11,9,7,8,0,11,2,0,10,9,14,6,4,5,0,7,3,2,0,0,3,0,5,12,0,9,4,6,5,10,10,0,15,0,14,9,13,6,3,10,0,6,0,0,5,4,7,6,7,0,0,4,0,9,8,0,10,6,3,8,4,10,12,15,0,0,4,0
2018-01-01T01:00:00Z,7,0,8,7,8,6,6,0,7,0,4,0,3,2,4,8,0,8,2,0,1,7,8,4,4,3,0,3,0,2,0,0,3,0,3,5,0,4,2,6,4,5,11,0,11,0,5,3,12,2,4,6,0,5,4,0,7,4,9,11,0,0,0,5,0,8,4,0,10,0,2,8,5,2,10,12,0,0,7,0
2018-01-01T02:00:00Z,4,0,4,7,4,0,4,0,6,0,6,0,1,7,3,51,0,9,3,0,1,6,4,2,8,7,0,3,3,3,0,0,2,0,2,6,0,3,2,5,3,8,11,0,5,0,2,2,8,2,0,9,0,5,2,0,8,3,7,12,2,0,0,3,0,5,5,0,8,2,3,9,4,2,6,12,0,0,11,0
2018-01-01T03:00:00Z,3,0,4,9,3,3,3,0,7,0,3,0,0,5,2,8,0,12,4,0,1,2,5,2,8,8,0,0,2,2,0,0,-1,0,2,5,0,2,-2,6,2,4,6,0,3,0,1,5,2,1,2,7,0,9,1,0,9,2,8,9,0,0,0,4,0,14,6,0,2,2,3,10,3,0,6,5,0,0,10,0
2018-01-01T04:00:00Z,7,0,6,5,2,4,5,0,10,0,5,0,1,7,2,5,0,10,3,0,2,5,3,5,6,4,0,0,0,2,0,0,-1,0,2,6,0,2,0,7,1,3,4,0,2,0,0,3,5,2,2,3,0,6,2,0,11,6,7,10,0,0,0,4,0,7,4,0,6,1,0,12,3,1,4,6,0,0,4,0
2018-01-01T05:00:00Z,3,0,5,6,3,3,2,0,17,0,4,0,3,6,4,6,0,12,3,0,0,4,4,1,8,8,0,2,-2,3,0,0,-1,0,3,4,0,3,2,6,2,3,4,0,5,0,1,1,3,-1,4,3,0,6,1,0,10,6,5,15,0,0,0,5,0,2,2,0,4,2,0,13,2,0,5,4,0,0,0,0
2018-01-01T06:00:00Z,3,0,5,6,5,2,4,0,14,0,6,0,6,5,6,7,0,14,5,0,-1,3,3,2,6,11,0,-2,0,4,0,0,2,0,5,4,0,5,2,6,4,4,5,0,7,0,3,2,8,0,3,4,0,4,2,0,3,8,6,22,3,0,0,2,0,4,3,0,7,1,4,12,5,1,5,5,0,0,2,0
2018-01-01T07:00:00Z,4,0,5,6,6,1,3,0,12,0,6,0,4,5,2,11,0,11,6,0,1,8,7,5,4,10,0,0,2,3,0,0,1,0,7,7,0,6,0,5,3,3,4,0,6,0,2,-1,5,1,0,3,0,6,9,0,2,10,8,18,1,0,0,4,0,6,4,0,5,3,2,15,4,9,8,4,0,0,2,0
2018-01-01T08:00:00Z,1,0,6,6,7,5,3,0,10,0,5,0,7,5,6,11,0,12,4,0,3,5,6,2,8,11,0,2,3,5,0,0,3,0,8,5,0,7,3,5,3,2,5,0,5,0,2,2,8,1,3,4,0,8,5,0,2,2,8,12,3,0,0,6,0,6,6,0,10,4,5,5,6,5,7,5,0,0,0,0
2018-01-01T09:00:00Z,3,0,6,7,6,5,5,0,9,0,6,0,8,6,4,10,0,9,4,0,1,7,9,2,8,6,0,3,2,5,0,0,5,0,9,4,0,8,10,8,3,6,6,0,6,0,1,2,9,2,4,3,0,5,5,0,0,4,4,3,5,0,0,11,0,6,5,0,5,3,3,7,6,5,9,2,0,0,3,0
