,"(-2.094278, 57.15736)","(-3.2429, 55.79216)","(-1.829999, 52.437165)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-1.875024, 52.47609)","(-3.007175, 53.80489)","(-1.918235, 52.481346)","(-1.826744, 50.73957)","(-4.041924, 51.074793)","(-2.584482, 51.462839)","(-0.175269, 51.54421)","(-3.17625, 51.48178)","(-2.945307, 54.894834)","(0.54797, 51.374264)","(-1.438228, 51.149617)","(-1.780888, 50.735454)","(-1.454946, 53.244131)","(-2.678731, 51.638094)","(-1.456944, 53.231722)","(-0.125889, 51.52229)","(-1.560228, 52.411563)","(-7.331179, 55.002818)","(-1.358547, 54.516667)","(0.271611, 50.805778)","(-2.334139, 53.48481)","(-3.182186, 55.945589)","(-4.238214, 55.860936)","(-4.734421, 55.944079)","(-4.243631, 55.865782)","(-3.704399, 56.010319)","(0.439548, 51.518167)","(-0.131931, 51.49467)","(-0.441614, 51.48879)","(-0.341222, 53.74878)","(-4.241451, 57.481308)","(-0.213492, 51.52105)","(-1.533119, 52.28881)","(-1.542911, 52.294884)","(-1.127311, 52.619823)","(-1.576361, 53.819972)","(-1.546472, 53.80378)","(-7.900328, 54.43951)","(0.070766, 51.45258)","(-2.844333, 53.34633)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(1.301976, 52.614193)","(-1.146447, 52.95473)","(-2.977281, 51.601203)","(-0.916605, 52.272257)","(-1.260278, 51.744806)","(-4.691462, 51.781784)","(-4.142361, 50.37167)","(-1.068583, 50.82881)","(-2.680353, 53.76559)","(-3.770822, 51.58395)","(-0.944067, 51.45309)","(0.634889, 51.45617)","(-4.227678, 50.411463)","(-0.300306, 52.132417)","(0.678408, 51.544206)","(-1.455815, 53.40495)","(-1.478096, 53.378622)","(-1.3159, 54.565819)","(-1.395778, 50.90814)","(-2.175133, 53.02821)","(-1.406878, 54.88361)","(-3.947374, 51.632696)","(-0.345606, 51.425286)","(-3.022722, 53.37287)","(-2.615358, 53.38928)","(-2.638139, 53.54914)","(-3.002778, 53.04222)","(-0.379916, 50.832947)","(-1.086514, 53.967513)","(-1.075861, 53.951889)"
2019-01-01T00:00:00Z,28,0,9,10,20,12,0,20,16,12,20,36,21,11,54,7,10,4,18,7,11,9,10,5,13,11,2,1,1,2,1,22,16,15,15,6,16,10,8,21,12,10,3,21,12,29,18,20,10,14,20,10,7,6,7,15,20,18,12,19,9,17,13,14,11,12,6,50,7,11,21,26,9,11,8,0,17,6,9
2019-01-01T01:00:00Z,7,1,9,11,11,7,0,10,8,9,11,9,10,12,13,6,10,0,8,9,12,10,7,7,12,11,4,3,5,1,3,14,16,11,10,6,9,6,6,7,8,6,2,12,7,10,4,20,5,8,10,7,8,8,7,8,16,8,11,7,11,8,12,12,18,10,3,12,6,8,16,12,4,6,8,0,11,8,6
2019-01-01T02:00:00Z,7,2,5,7,9,6,0,10,8,8,13,4,7,10,12,5,8,7,7,8,3,7,6,6,12,8,3,7,7,6,7,5,6,5,9,5,5,6,8,6,6,3,1,8,4,6,2,10,6,9,4,7,9,9,6,6,14,6,10,7,11,6,10,5,14,12,2,11,6,10,14,4,6,6,8,0,12,8,5
2019-01-01T03:00:00Z,7,4,7,7,7,6,0,7,12,5,14,4,11,8,9,5,11,8,7,8,6,8,3,4,11,8,3,8,7,7,6,5,7,6,9,5,5,6,8,10,7,2,1,8,4,6,3,9,2,8,2,7,10,8,6,7,13,5,7,8,6,4,10,6,11,9,3,8,7,10,11,7,6,7,8,0,7,6,4
2019-01-01T04:00:00Z,6,5,9,4,6,6,0,6,11,4,13,5,7,5,7,5,13,5,5,6,5,7,4,2,7,9,6,8,7,8,5,3,7,6,4,4,5,6,6,7,6,0,1,5,9,4,0,10,4,14,6,6,9,9,6,9,12,7,9,6,5,4,5,8,8,4,2,8,6,14,9,8,3,5,5,0,5,0,3
2019-01-01T05:00:00Z,6,5,5,5,7,6,0,6,10,0,13,6,6,2,5,5,13,5,3,4,4,6,5,1,8,8,6,7,6,8,9,5,10,6,2,5,6,7,5,12,2,-2,1,3,8,6,3,11,6,9,5,6,10,12,7,4,12,8,6,5,6,7,8,5,6,-2,1,10,4,13,10,6,8,8,3,0,6,6,3
2019-01-01T06:00:00Z,8,5,7,4,6,6,0,7,10,0,13,6,7,3,0,5,8,9,5,2,3,7,5,3,10,7,6,7,5,7,7,6,10,6,1,4,6,5,5,12,2,4,1,9,5,3,4,9,6,7,4,6,12,11,7,7,12,5,8,4,7,6,7,6,6,7,10,9,4,13,8,6,5,7,3,0,7,8,2
2019-01-01T07:00:00Z,4,5,7,5,8,6,0,5,7,6,9,8,4,6,0,5,9,2,8,3,3,9,4,8,8,7,5,7,4,7,5,6,10,6,6,3,6,7,5,8,6,-2,1,2,5,2,8,14,5,7,4,6,9,13,7,4,11,4,9,4,7,6,9,4,6,2,10,7,6,13,7,3,3,6,5,0,6,3,4
2019-01-01T08:00:00Z,5,5,6,6,4,5,0,7,9,9,16,4,7,8,0,3,11,-3,6,0,7,8,5,7,7,5,5,6,4,6,5,4,8,6,4,3,6,4,5,7,3,0,0,9,4,3,7,9,5,4,6,6,8,7,7,5,15,3,8,4,6,8,6,5,9,5,7,7,8,14,7,4,5,3,4,0,6,1,3
2019-01-01T09:00:00Z,3,4,0,10,5,5,0,7,9,7,16,0,7,6,10,5,9,0,7,2,6,8,7,3,9,4,5,6,4,6,6,6,8,6,8,5,6,4,4,7,2,-1,0,6,2,6,4,5,5,8,2,7,9,11,7,5,12,0,8,2,6,5,8,8,18,6,5,10,12,18,6,8,4,-1,4,0,6,3,2
