,"(-1.485153, 53.55593)","(-1.510436, 53.56292)","(-5.928833, 54.59965)","(0.184806, 51.46603)","(-3.17625, 51.48178)","(-0.125889, 51.52229)","(-7.329115, 55.001225)","(-2.334139, 53.48481)","(-4.255161, 55.85773)","(-3.704399, 56.010319)","(-1.325283, 51.571078)","(-0.131931, 51.49467)","(-0.213492, 51.52105)","(-1.752006, 53.40337)","(-1.533119, 52.28881)","(-1.546472, 53.80378)","(-1.133006, 52.631348)","(0.18125, 50.7937)","(-2.237881, 53.48152)","(-1.220874, 54.569297)","(-0.154611, 51.52253)","(-1.610528, 54.97825)","(-1.146447, 52.95473)","(-0.885933, 52.27349)","(-4.691462, 51.781784)","(0.634889, 51.45617)","(-1.473306, 53.37772)","(-1.395778, 50.90814)","(0.317969, 51.47707)","(0.290917, 52.2985)"
2001-01-01T00:00:00Z,0,19,0,0,0,0,11,19,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
2001-01-01T01:00:00Z,3,16,0,0,0,0,11,24,3,0,1,0,3,9,8,8,3,1,5,13,8,11,16,0,0,3,5,3,45,4
2001-01-01T02:00:00Z,21,16,0,0,3,11,11,13,5,0,1,0,5,11,5,8,3,0,3,19,13,11,21,0,-1,3,5,5,59,4
2001-01-01T03:00:00Z,27,21,0,0,3,11,11,13,3,0,1,0,5,14,5,13,5,1,5,21,11,11,19,0,2,3,5,3,16,4
2001-01-01T04:00:00Z,11,19,0,0,8,11,8,21,8,0,1,0,5,7,3,16,3,1,8,16,8,11,21,0,3,2,5,3,11,3
2001-01-01T05:00:00Z,11,19,0,0,8,8,5,16,5,0,1,0,5,5,5,11,3,1,8,11,8,11,21,0,1,2,11,3,11,2
2001-01-01T06:00:00Z,32,19,0,0,5,8,8,5,5,0,1,0,5,5,5,8,3,1,8,8,8,8,24,0,3,10,11,3,11,2
2001-01-01T07:00:00Z,51,16,0,0,3,8,5,5,5,0,1,0,3,4,5,13,3,1,11,5,8,11,21,0,3,3,11,3,8,2
2001-01-01T08:00:00Z,27,16,0,0,3,8,8,5,3,0,0,0,5,2,3,16,3,5,11,5,5,11,19,0,2,26,11,3,8,2
2001-01-01T09:00:00Z,3,13,0,0,3,8,8,5,8,0,1,0,3,3,5,16,3,6,11,5,5,5,19,0,3,48,8,3,5,2
2001-01-01T10:00:00Z,5,13,0,0,3,8,11,11,3,3,1,0,5,4,5,13,3,6,13,5,8,5,24,0,1,18,8,5,8,2
2001-01-01T11:00:00Z,3,21,0,0,3,8,8,13,5,3,1,0,8,4,5,13,3,7,16,5,8,3,24,0,2,3,11,3,8,2
2001-01-01T12:00:00Z,3,16,0,0,3,8,13,11,5,3,1,0,5,4,5,11,3,7,11,5,11,3,24,0,0,14,13,3,8,2
2001-01-01T13:00:00Z,32,16,0,0,3,8,13,8,3,3,1,0,5,3,5,11,3,9,11,5,11,8,21,0,3,27,21,3,8,2
2001-01-01T14:00:00Z,37,19,0,0,3,8,13,8,5,3,1,0,3,7,5,8,3,9,11,5,11,8,24,0,1,6,16,3,11,2
2001-01-01T15:00:00Z,51,24,0,0,3,8,13,5,5,3,0,0,0,10,5,19,5,6,8,5,11,5,27,0,3,3,11,3,8,1
2001-01-01T16:00:00Z,32,21,0,0,3,8,16,5,5,3,0,0,0,4,5,21,5,5,8,13,8,3,24,0,2,2,8,3,5,1
2001-01-01T17:00:00Z,29,21,0,0,3,8,13,21,5,3,0,0,0,10,5,16,5,7,13,11,8,8,21,0,3,3,8,3,8,1
2001-01-01T18:00:00Z,24,21,0,0,3,5,11,27,3,3,1,0,0,7,5,19,8,7,13,11,8,13,27,0,3,3,11,3,24,1
2001-01-01T19:00:00Z,27,21,0,0,3,5,11,27,8,3,1,0,0,4,3,16,8,4,11,11,8,11,27,0,3,3,8,3,45,1
2001-01-01T20:00:00Z,21,19,0,0,3,5,11,29,8,3,1,0,0,3,5,16,8,5,13,16,8,8,29,0,3,2,11,3,13,1
2001-01-01T21:00:00Z,21,19,0,0,3,3,11,27,3,3,2,0,0,4,3,19,8,5,16,13,8,8,29,0,3,0,11,3,11,1
2001-01-01T22:00:00Z,16,13,0,0,3,5,13,32,5,3,1,0,0,4,3,16,8,5,11,11,5,11,29,0,3,2,8,8,11,1
2001-01-01T23:00:00Z,19,11,0,0,3,5,11,13,3,3,2,0,0,4,3,13,5,6,13,16,5,8,27,0,1,2,11,3,13,1
2001-01-02T00:00:00Z,35,13,0,3,3,0,13,13,5,3,1,0,3,6,3,11,5,11,11,11,5,8,24,0,2,3,5,3,11,0
2001-01-02T01:00:00Z,19,8,0,3,0,0,5,5,3,3,0,0,3,7,8,8,3,0,5,11,3,8,24,0,1,3,5,5,8,1
2001-01-02T02:00:00Z,21,5,0,3,3,3,8,5,5,3,0,0,3,4,3,13,3,0,5,8,5,8,27,0,4,3,5,3,8,1
2001-01-02T03:00:00Z,29,5,0,3,3,5,3,13,5,0,0,0,3,7,3,24,3,0,8,11,3,8,21,0,4,2,3,3,3,1
2001-01-02T04:00:00Z,43,8,0,3,3,3,5,8,5,3,1,0,3,9,0,13,3,0,13,11,5,5,27,0,3,3,5,3,5,1
2001-01-02T05:00:00Z,48,11,0,3,3,0,5,13,8,0,2,0,3,9,3,16,5,0,16,8,5,5,29,0,3,1,5,3,11,0
2001-01-02T06:00:00Z,43,11,0,3,3,5,5,11,5,0,1,0,3,2,3,19,3,0,16,5,8,3,27,0,4,2,5,3,8,0
2001-01-02T07:00:00Z,32,11,0,3,3,3,3,27,8,3,2,0,3,2,3,16,3,0,24,11,8,5,27,0,4,3,8,3,5,1
